E yu mbena ka'. E fúú efa rkwe aèmboè e m laèa naè. Vúè neè yá mbe dïì' ce yi gúèú yi mú noêñ.	He is not here, for he has risen, just like he said. Come, see the place where the Lord was lying.
Mboè weèe rïìñ weená aède' beèe ce a yu byáánïì ka' a niñ mbe dïû' kúú Nyúè ka' a? Weèe fa bo' wee btu ka'. Rïìñ neè ená beèe ce a ce saèki ba beèe ce a ce loo neè mnyúè enjep ñgoèñ na, ba beèe ce a ce koo bbyeèñge beèe mo', káè mmbañruè mo' áè, ba mmbañruè ce a ce koo mmbañruè mo',	Or don't you know that the unrighteous will not inherit the Kingdom of God? Don't be deceived. Neither the sexually immoral, nor idolaters, nor adulterers, nor male prostitutes, nor homosexuals,
Woweèe a yu ñgaâa ntuu Jisoès ce mini ka'. Woweèe a yu ñgaâa ñkuèprïì ce a ce yááti foñ aèmboè ñgaâa ntuu Jisos Kraêis.	For such men are false apostles, deceitful workers, masquerading as Christ's apostles.
Saimún Pitaè ba ñwáè yá'ni yïì buu moè' a m duè aèmbuèu Jisoès aè nfeè' anaè. Ñwáè ce e m ba tu neè ñgaâa tañshi tañshïì aè m rïìñ ñwáè yá'ni buu Jisoès anaè. E niñ a Jisoès mbe mambe ñwáè ce e m ba tu neè ñgaâa tañshi tañshïì anaè.	Simon Peter followed Jesus, as did another disciple. Now that disciple was known to the high priest, and entered in with Jesus into the court of the high priest;
AÈde' weèr ke laa nyúè moè' ená weèr yu aèmboè beèe ce a ce kwaè'shi ená a yu beâe bgoèrgoèr naè ka'. AÈde' weèr fe'nïì yer ñger aè yap ka'. Woweèe a ce feè'ni yap ñger fa waâp mú wa'a, baná woweèe a yu blúr.	For we are not bold to number or compare ourselves with some of those who commend themselves. But they themselves, measuring themselves by themselves, and comparing themselves with themselves, are without understanding.
Kaifaès aè m ce laèa wa'a, a ce laèa ba aè mkwaè'shïì mi ka'. AÈmboè Kaifaès ca aè m ba tu neè ñgaâa tañshi tañshïì aè feè' anaè, e m suñ beèe yuu ce yi be loè ba. E m laèa ená Jisoès táá aè rkwe aètu to' wááwá.	Now he didn't say this of himself, but being high priest that year, he prophesied that Jesus would die for the nation,
Ñkaraè, fa beè'ni yuu bebep ka', beè'ni ba yuu boèñboñ. Ñwáè ce e ka' ce geèe yuu boèñboñ baná ñgaèñ yu ñwáè Nyúè. Ñwáè ce e ka' ce gee yuu bebep, baná ñgaèñ aè m yá Nyúè ka'.	Beloved, don't imitate that which is evil, but that which is good. He who does good is of God. He who does evil hasn't seen God.
Wèr à yɛ ye kaʼ, banɛ e bii vʉ̀.	We havenʼt seen him, therefore he is yet to come.
AÈmboè weèr aè rïìñ seè'ni ená weèe táá tatap njep Tata na, weèr be cu seè'ni yáánïì.	For now we live, if you stand fast in the Lord.
AÈ be keè lu'shi, yu' rboèñ, tá beèe magoèr a lu'shi foñ, aè nfeè' ce a bi muu anaè,	You will have joy and gladness; and many will rejoice at his birth.
Yuu mo'sir yi yu ená yeè ndeèe ba le rcu li ku ba yáánïì aèmboè Nsuñ Mboèñmboñ Jisoès ce roèo ená li ba, ka' máè ka' vú yá weèe, káè máè vúè ka' áè, m bo kuè yu' máná weèe táá tatap, a túr rkwaè'shïû rmo'sir, a ker ce reè neè ntee mo'sir tá Nsuñ Mboèñmboñ ce weèe aè byemi aègho bo duè kuèntombïì.	Only let your way of life be worthy of the Good News of Christ, that, whether I come and see you or am absent, I may hear of your state, that you stand firm in one spirit, with one soul striving for the faith of the Good News;
Fa fa bo kǒo kaʼ.	Donʼt put your hand inside.
Muunje ca bii ntùr.	This girl is still pre-mature.
Máè du a laa neè ncïìndap Nyúè anaè ená e fa máè ñwaè' anaè. E laa neè máè enáê, “Koè ye, aè be ye tá yi lee kuè cuèu aèmboè bluè wa'a, bep njep rbúè.”	"I went to the angel, telling him to give me the little book. He said to me, ""Take it, and eat it up. It will make your stomach bitter, but in your mouth it will be as sweet as honey."""
Sol aè m fa ñgá' neè cor seê. E m ce duè aè mndap jáá jáèá jáá ce koshi mmbañruè ba bbyeèñge ce fa mbe shañ.	But Saul ravaged the assembly, entering into every house, and dragged both men and women off to prison.
Ñwáè rsa' moè' aè m bipshi neè ye enáê, “Ñwáè ryá'nïì ce mboèñmboñ, yuu ce aède' m gee ka' koni ryoèñ ce nfeseè yu ká?”	"A certain ruler asked him, saying, ""Good Teacher, what shall I do to inherit eternal life?"""
Ñwáè anaè ka' ku bii nteèe, nlaè' rkwe anaè yi túr ñger ka'. Yi ku túr ñger ba aè nfeè' ce ñwáè anaè aè kwe.	For a will is in force where there has been death, for it is never in force while he who made it lives.
E m laèa enáê, “Weèr aè m laèa ená weèe fa yá'ni yuu mo' aè rlii ñwáè anaè ka'. Yá laè neè yuu ce weèe aè geèe. Weèe aè geèe le ryá'nïì li du aè mú bdïì' wááwá aè rla' Jáèrusaláèm, a koñ seè'ni aè rgeèe tá yi yááti ená beèe ce a m yú ñwáè ca aè m yú weèr.”	"saying, ""Didn't we strictly command you not to teach in this name? Behold, you have filled Jerusalem with your teaching, and intend to bring this man's blood on us."""
njobeè' Nyúè ku ba moè'sir caè'caè'. E be geèe Jus ce a ke geèe búè naè aèmboè beâe byáánïì, ce woweèe a ka' byemi neè Jisos Kraêis. Yi ku ba wa' foñ neè beèe ce a ke geèe búè ka' naè. Nyúè be geèe woweèe tá a ba byáánïì ce woweèe aè ka' byemi neè Jisos Kraêis.	since indeed there is one God who will justify the circumcised by faith, and the uncircumcised through faith.
Beèe a lapnïì goèr seê, tu yïû goèr yi wáp ená a be koo Pol saèsi. E laa neè bsoogáè ená woweèe a du koo ye aè ñger niñ aègho mbe barakïì.	When a great argument arose, the commanding officer, fearing that Paul would be torn in pieces by them, commanded the soldiers to go down and take him by force from among them, and bring him into the barracks.
AÈ m ba aè nfeè' entombïì e ba yuu cicïì neè wáè; seè'ni e yu lulu neè wáè ker ba neè máè foñ.	who once was useless to you, but now is useful to you and to me.
Caè'ni neè bfúr ce aè rla' Laèodisïìyaè neè máè, ker ca'ni Nimfaè ba beèe ce a ke niñ cor mbe yeâ ndaèp naè foñ.	Greet the brothers who are in Laodicea, and Nymphas, and the assembly that is in his house.
Ndoèo aè co' weèe ce mnfeèp ce weèe ce duèñshi beèe nduunjïì. Weèe ce laèa weená ñwáè aè ka' ye leè', kaa aè rlii Ndap Nyúè, yïì anaè ba yuu ka'; ñwáè aè ka' ye leè', kaa ba aè rlii buu embe Ndaèp Nyúè ce a geèe neè njáèá bco' mo' ce a too ená guêl, baná leè' anaè yi kur ñgaèñ.	"Woe to you, you blind guides, who say, 'Whoever swears by the temple, it is nothing; but whoever swears by the gold of the temple, he is obligated.'
Matthew	Matïìyoè	23	17	Weèe ce weèe yu blúr, a ba mnfeèp, yuu ce yi yu goèr yu ba yïû fá? Yu ba buu embe Ndaèp Nyúè ce a geèe neè gul káè yu ba Ndap Nyúè ce e geèe buu ca aè ba buu Nyúè?	You blind fools! For which is greater, the gold, or the temple that sanctifies the gold?
Matthew	Matïìyoè	23	18	Weèe ce laèa foñ ená ñwáè aè ka' ye leè', kaa aè rlii dïû' ntoèo rfa, yïì anaè ba yuu ka'; ñwáè aè ka' ye leè', kaa ba aè rlii rfa embe dïû' ntoèo rfa, leè' anaè yi kur ye.	Whoever swears by the altar, it is nothing; but whoever swears by the gift that is on it, he is obligated?'
Matthew	Matïìyoè	23	19	Weèe yu mnfeèp ghup. Yuu ce yi yu goèr yu ba yïû fá? Yu ba rfa káè yu ba dïû' ntoèo rfa ce yi geèe rfa li ba yuu Nyúè?	You blind fools! For which is greater, the gift, or the altar that sanctifies the gift?
Matthew	Matïìyoè	23	20	Baná ñwáè ce e ka' ye leè', kaa aè rlii dïû' ntoèo rfa baná e kaèa aè rlii dïû' ntoèo rfa ba aè rlii buu embo.	He therefore who swears by the altar, swears by it, and by everything on it.
Matthew	Matïìyoè	23	21	Ñwáè aè ka' ye leè', kaa aè rlii Ndap Nyúè, baná e kaèa aè rlii Ndap Nyúè ba aè rlii ñwáè ce e ce cu mbo.	He who swears by the temple, swears by it, and by him who was living in it.
Matthew	Matïìyoè	23	22	Ñwáè ce e ka' ye leè', kaa aè rlii rbuu, baná e kaa aè rlii kaèbaèraè' Nyúè, ba aè rlii ñwáè ce e cu mbo.	He who swears by heaven, swears by the throne of God, and by him who sits on it.
Matthew	Matïìyoè	23	23	Ndoèo aè co' weèe ce ñgaâa ryá'ni mncir, ba beèe Farïìsïî. Weèe yu ñgaâa mbo'ni. Wee ke fa ñgúè' moè'sir efa rrúú efa mú buu jáá jáèá jáá ce a ke láè njep njaèp. Ka' yi yu wa'a, weèe aè loèr buu mncir Nyúè ce vi yu tatap a caa rfa anaè aètáèr. Buu anaè yu aè rgeèe ñgeâe mini, ba ñkoosimnse ker ba aè rba mini aè buu. Weèe aè ba geèe buu ca keèr geèe mmo' ca foñ.	Woe to you, scribes and Pharisees, hypocrites! For you tithe mint, dill, and cumin, and have left undone the weightier matters of the law: justice, mercy, and faith. But you ought to have done these, and not to have left the other undone."
Ngur saʼ à watî.	The knife handle has broken.
faè dïì' yuu yi bo ba ce a taa weèe aètu mo ka', tá wee mntee vi ba brara. Geèe neè wa'a tá weèe bo ba boo Nyúè ce a túr faèa ka', a ce cu aè múè ñgaâa bsaèrbuu, a ce raa aè waâp mú aèmboè mkaèñsïì wa'a.	that you may become blameless and harmless, children of God without blemish in the midst of a crooked and perverse generation, among whom you are seen as lights in the world,
E ka' laèa wa'a, a mú' waêp bfee, tá woweèe a bo rïìñ buu ce Ñwaâ' Nyúè yi ce laèa.	Then he opened their minds, that they might understand the Scriptures.
AÈ ka' ba njo' Jisos Kraêis, Nyúè aè naa seèe mbekïì aèbee seèe woweèe, a gee seèe woweèe aè cu mbe buèu.	and raised us up with him, and made us to sit with him in the heavenly places in Christ Jesus,
AÈ ka' ba aè mmbomntaa Nyúè ekoâ, to' bïìi yi ku roèo fúú wááwá aè ryu' blaâa Nyúè.	The next Sabbath almost the whole city was gathered together to hear the word of God.
Yi ka' ba wa'a, Jisoès aè laa enáê, “Be ba aè nfeè' ce weèe aè naèa Muu Ñwáè mbekïì tá weèe ka' rïìñ ená a máè ye, keèr rïìñ foñ ená m ce geèe yuu mo' a máâ ñger ka'. M ku ce laèa ba buu ce yaè Ta aè yá'ni máè.	"Jesus therefore said to them, ""When you have lifted up the Son of Man, then you will know that I am he, and I do nothing of myself, but as my Father taught me, I say these things."
AÈ m ba nyúè moè', Jisoès aè ce geèe rloo mimñgi', ñgaâa yá'ni yïì buu a ba a ye. E bipshïì neè woweèe enáê, “Ku' beèe ce a ke vúè na, a ke laèa ená m yu nda?”	"It happened, as he was praying alone, that the disciples were with him, and he asked them, ""Who do the multitudes say that I am?"""
Weèe aè m ba aèmbo njeèe ce yi daè', aè ka' ba seè'ni weèe aè kútïì a ce duè ba aèmbuèu ñwáè ncïìñ njeèe ce e ce keè'ni weèe.	For you were going astray like sheep; but now have returned to the Shepherd and Overseer of your souls.
Máè suñ woweèe wo blaèa; ñgoèñ yi baèa woweèe njobeè' woweèe a yu beèe enjep ñgoèñ ka', aèmboè má máè yu ñwáè enjep ñgoèñ ka' naè.	I have given them your word. The world hated them, because they are not of the world, even as I am not of the world.
M ce suñ wáè ená aè be kuè cu mbe shañ anaè caar, laè' yi mbaèa ce yi yu neè wáè wááwá ka' fúú embo.”	"I tell you, you will by no means get out of there, until you have paid the very last penny."""
Woweèe a ker bipshi neè ye enáê, “Baná a wáè nda? A wáè AÈlajaè a?” E beesïì enáê, “A máè AÈlajaè ka'.” Woweèe a ker bipshi enáê, “A wáè ñwáè ncep ntuu Nyúè anaè a?” Joân aè kanïì.	"They asked him, ""What then? Are you Elijah?"" He said, ""I am not."" ""Are you the prophet?"" He answered, ""No."""
Woweèe wááwá a wáp, a ku'si Nyúè, a ce laèa enáê, “Ñwáâ ncep ntuu Nyúâ ñgoèr aè fúú efa seâe mú,” a ker ce laèa enáê, “Nyúè aè vúè aè rjaè' yïì beèe.”	"Fear took hold of all, and they glorified God, saying, ""A great prophet has arisen among us!"" and, ""God has visited his people!"""
E loʼ mɛ̀.	He has deceived me.
a laa neè ye enáê, “Tataê, koosimnse neè muu waè, njobeè' e ce gweè kaè', a ce yá ñgá' seê. E ke loè ku gwe njep mor, ba njep mdip.	"Lord, have mercy on my son, for he is epileptic, and suffers grievously; for he often falls into the fire, and often into the water.
Matthew	Matïìyoè	17	16	Máè ka' vúè neè ye, fa neè ñgaâa yá'ni yoè buu, woweèe a moo aè rgeèe tá e ke'se laèr.”	So I brought him to your disciples, and they could not cure him."
Dïû' ntoèo nráèá yi m ba mbo, a yo' neè guêl. Ñkuèp leè' Nyúè aè m ba mbe rum anaè foñ. A m yo' ñkuèp anaè neè gul foñ. A m láè ntúñ ce a m geèe neè guêl, a lá manaè njo, a lá njep ñkuèp anaè. Mbaèñ Ároèn ce e m loè a saa mmbar, aè m ba njep ñkuèp anaè. Bluèr ce Nyúè aè m sañ leè' mbo naè vi m ba njo foñ.	having a golden altar of incense, and the ark of the covenant overlaid on all sides with gold, in which was a golden pot holding the manna, Aaron's rod that budded, and the tablets of the covenant;
Ñwáè wááwá aè ká' a ce suñ yuu ce e be jepsi ye efa rduè ñkaè' anaè. Ñwáè entombïì aè laa enáê, ‘Máè yuu ñkúè, aè ba yïì ce m be kuè duè ba seè'ni na duè yá aèmboè ñkúè anaè yu. Duè laa neè ye ená ntee yi fa yañ lá ye ka'.’	"They all as one began to make excuses. ""The first said to him, 'I have bought a field, and I must go and see it. Please have me excused.'"
Mɛ ke ràasi bzhɛ̀ɛ kaʼ.	I donʼt tolerate theft.
Yi ka' ba ená beèe a be keè fúú efa rkwe ka', baná Jisoès Kraâis aè m fúú efa rkwe foñ ka'.	But if there is no resurrection of the dead, neither has Christ been raised.
E too nráèá anaè, nje efa gho yi natïì a mloo aèbee embaè bo ncïìndap Nyúè, a ko' kuèntombïì neè Nyúè.	The smoke of the incense, with the prayers of the saints, went up before God out of the angel's hand.
nan	Now to him who is able to establish you according to my Good News and the preaching of Jesus Christ, according to the revelation of the mystery which has been kept secret through long ages,
M ce sañ ñwaè' ca neè Timotïì ce e yu muu waè ce máè koèñ neè ya ntee-ñwáè. M ce loo máná Nyúè Taèr, ker ba Jisos Kraâis ce e yu yïìseèe Tataê, túr wáè aè ntee boèñboñ, koosimnse neè wáè, fa wáè cumúnyañ.	to Timothy, my beloved child: Grace, mercy, and peace, from God the Father and Christ Jesus our Lord.
Dù laa nè yee cùu e be yuʼ u.	Say it yourselves he will understand.
Jisoès aè m loo neè Nyúè aè nfeè' ce e m ba njep ñgoèñ na. E m loo wa'a a ce warñger a ce suèusi mñgoommir. E m loo neè Nyúè njobeè' Nyúè aè m túr ñger aè rjaè' ye efa rkwe. Nyúè aè m yu' li rloo njobeè' e m ce loo neè ryu'nïì-ñwáè.	He, in the days of his flesh, having offered up prayers and petitions with strong crying and tears to him who was able to save him from death, and having been heard for his godly fear,
Ma à dù mbà nduunjì muu à bar ye.	The mother was going down the road and the child pursued her.
Geewa'a, m ce lu'shi seè'ni, a ke' ce lu'shi njobeè' máè m geèe weèe aè koosïìmnse ka', m ce lu'shi njobeè' weèe aè m koosimnse wa'a, a kupse, a ma' yeè buu bbebep. Ñkoosimnse ce weèe aè m túr, yu njáèá ñkoosimnse ce Nyúè koèñ. Weèr aè m bepsi weèe bepsi ka' koo múcaèr.	I now rejoice, not that you were made sorry, but that you were made sorry to repentance. For you were made sorry in a godly way, that you might suffer loss by us in nothing.
AÈ m ba aè nyúè anaè aè mbuèuñkuèr, Jisoès aè laa neè ñgaâa yá'ni yïì buu enáê, “Seèe tuu neèñguu roè.”	"On that day, when evening had come, he said to them, ""Let's go over to the other side."""
Weèe aè ba riñ máè, weèe aè ba rïìñ yaè Ta foñ. Ká' e seè'ni na, weèe aè rïìñ ye, a ker yá ye foñ.”	"If you had known me, you would have known my Father also. From now on, you know him, and have seen him."""
Rboâñtu li be ba neè ñwáè rfaè' ce yïì masaè aè ka' kúti, yá aèmboè e ce geèe li rfaè' aè njáâá wa'a.	Blessed is that servant whom his lord will find doing so when he comes.
Yuu ce yi ka' fúú ku' mbe dïì' anaè aè ka' ku ba ba ñgúú ba msini, baná nshe anaè yu aè cicïì. Yi ka' ba wa'a, baná nfeè' aè gháá ce Nyúè be bepsi nshe anaè tá a too neè mor.	but if it bears thorns and thistles, it is rejected and near being cursed, whose end is to be burned.
